ame, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
STONY GORGE RESERVOIR, Glenn, CA02, -122.534, 39.586, 800, 46.1, 5.94
BRUSH CREEK RANGER STATION, Butte, CA02, -121.345, 39.695, 3560, M, 10.27
PARADISE, Butte, CA02, -121.624, 39.754, 1750, 48.4, 18.47
COVELO, Mendocino, CA01, -123.244, 39.816, 1413, 43.4, 6.64
VINTON, Plumas, CA02, -120.186, 39.806, 4950, 33.1, 1.01
PORTOLA, Plumas, CA02, -120.472, 39.805, 4850, 33.4, 3.57
DE SABLA, Butte, CA02, -121.611, 39.872, 2710, 42.7, 22.79
LEGGETT, Mendocino, CA01, -123.720, 39.874, 703, M, 11.72
STANDISH HICKEY ST PK, Mendocino, CA01, -123.727, 39.878, 853, 43.8, 6.23
BUCKS CREEK, Plumas, CA02, -121.315, 39.937, 1891, M, 15.51
DOYLE 4 SSE, Lassen, CA03, -120.083, 39.972, 4390, 37.5, 0.43
DOYLE, Lassen, CA03, -120.105, 40.027, 4293, M, 0.20
RICHARDSON GR ST PK, Humboldt, CA01, -123.793, 40.026, 503, 45.0, 11.58
CANYON DAM, Plumas, CA02, -121.089, 40.171, 4560, 33.8, 8.94
MIRANDA 4 SE, Humboldt, CA01, -123.776, 40.182, 266, M, 9.24
FORT SEWARD, Humboldt, CA01, -123.632, 40.218, 220, M, 8.36
HONEYDEW 1 SW, Humboldt, CA01, -124.132, 40.238, 373, M, 20.28
CHESTER, Plumas, CA02, -121.242, 40.303, 4530, 33.9, 6.85
MINERAL, Tehama, CA02, -121.609, 40.346, 4875, 33.7, 10.31
COLEMAN FISHERIES STATION, Shasta, CA02, -122.143, 40.400, 420, M, 6.54
VOLTA PH, Shasta, CA02, -121.866, 40.458, 2220, M, 5.08
GRIZZLY CREEK STATE PARK, Humboldt, CA01, -123.909, 40.486, 413, M, 9.37
SCOTIA, Humboldt, CA01, -124.104, 40.483, 136, 49.6, 10.05
MANZANITA LAKE, Shasta, CA02, -121.577, 40.541, 5750, 29.3, 5.27
WHISKEYTOWN RESERVOIR, Shasta, CA02, -122.528, 40.612, 1295, 46.0, 20.29
SHASTA DAM, Shasta, CA02, -122.416, 40.714, 1075, 46.1, 20.77
TRINITY RIVER HATCHERY, Trinity, CA01, -122.795, 40.726, 1861, 41.5, 5.42
BIG BAR 4 E, Trinity, CA01, -123.208, 40.741, 1253, 43.6, 5.38
BUCKHORN, Shasta, CA02, -121.932, 40.880, 3700, M, 13.54
HAT CREEK, Shasta, CA02, -121.543, 40.932, 3015, 38.4, 3.00
PIT RIVER PH 5, Shasta, CA02, -121.977, 40.987, 1458, M, 20.71
WILLOW CREEK 1 NW, Humboldt, CA01, -123.636, 40.947, 464, 45.3, 2.44
FALL RIVER MILLS, Shasta, CA02, -121.435, 41.008, 3300, M, 2.73
ADIN RANGER STATION, Modoc, CA02, -120.945, 41.193, 4202, M, 1.36
DUNSMUIR TREATMENT PL, Siskiyou, CA02, -122.282, 41.183, 2169, 40.5, 15.50
JESS VALLEY, Modoc, CA02, -120.295, 41.268, 5400, 32.4, 0.49
MCCLOUD, Siskiyou, CA02, -122.138, 41.252, 3233, 35.8, 6.26
ORICK, Humboldt, CA01, -124.067, 41.283, 5, M, 6.72
CALLAHAN, Siskiyou, CA01, -122.825, 41.338, 3085, 39.1, 2.37
SAWYERS BAR RS, Siskiyou, CA01, -123.133, 41.301, 2255, 42.6, 4.38
ORLEANS RS, Humboldt, CA01, -123.534, 41.303, 433, M, 5.68
CANBY 3 SW, Modoc, CA02, -120.902, 41.422, 4310, 35.7, 0.88
ALTURAS, Modoc, CA02, -120.544, 41.490, 4378, 33.6, 0.51
FORT JONES RS, Siskiyou, CA01, -122.848, 41.601, 2729, 40.0, 1.88
LAVA BEDS NAT MON, Siskiyou, CA01, -121.501, 41.702, 4770, 35.1, 3.06
MOUNT HEBRON RS, Siskiyou, CA01, -122.045, 41.783, 4265, 35.2, 0.51
CRESCENT CITY 3 NNW, Del Norte, CA01, -124.215, 41.796, 43, 47.8, 11.27
CRESCENT CITY MCNAMARA AP, Del Norte, CA01, -124.238, 41.784, 56, 47.4, 9.05
OAK KNOLL W. C., Siskiyou, CA01, -122.850, 41.839, 1980, M, 1.85
FORT BIDWELL, Modoc, CA03, -120.157, 41.872, 4739, 34.0, 1.53
GASQUET RS, Del Norte, CA01, -123.965, 41.845, 387, M, 12.75
FORT DICK RIVER, Del Norte, CA01, -124.135, 41.881, -, M, 11.32
TULELAKE, Siskiyou, CA01, -121.474, 41.960, 4038, 36.1, 0.61
COPCO NO 1 DAM, Siskiyou, CA01, -122.338, 41.980, 2665, 39.2, 1.68
ELK VALLEY, Del Norte, CA01, -123.718, 41.988, 1708, M, 6.43
PACIFICA 4 SSE, San Mateo, CA04, -122.472, 37.592, 475, 53.5, 12.44
BARSTOW, San Bernardino, CA07, -117.022, 34.893, 2220, 48.9, 0.98
INYOKERN, Kern, CA07, -117.821, 35.651, 2430, 45.9, 0.25
PEARBLOSSOM, Los Angeles, CA07, -117.897, 34.503, 3101, 47.2, 1.64
EL CAJON, San Diego, CA06, -116.928, 32.801, 495, 55.8, 3.54
MARKLEY COVE, Napa, CA02, -122.124, 38.492, 480, 48.0, 11.88
LORAINE 5 NNE, Kern, CA05, -118.412, 35.384, 4235, 43.3, 1.19
CORONADO FIRE DEPT, San Diego, CA06, -117.177, 32.692, 18, 57.2, 3.18
DEL MAR FIRE DEPT, San Diego, CA06, -117.262, 32.972, 12, 54.4, 1.52
IMPERIAL BEACH FIRE DEPT, San Diego, CA06, -117.114, 32.576, 22, 55.0, 0.80
LEMON GROVE FIRE DEPARTMENT, San Diego, CA06, -117.030, 32.738, 427, 54.6, 2.03
SPRING VALLEY FIRE DEPT, San Diego, CA06, -117.006, 32.710, 270, 54.0, 4.81
SANTEE FIRE DEPT, San Diego, CA06, -116.973, 32.841, 340, 55.5, 3.32
LEE VINING, Mono, CA07, -119.119, 37.957, 6797, 32.4, 2.43
ANAHEIM, Orange, CA06, -117.842, 33.865, 235, 57.1, 2.02
RED BLUFF TREATMENT PLANT, Tehama, CA02, -122.220, 40.162, 265, M, 8.58
NEW MELONES DAM HQ, Tuolumne, CA05, -120.486, 38.005, 960, 49.6, 5.25
MAMMOTH LAKES RS, Mono, CA07, -118.962, 37.648, 7804, 26.5, 3.02
FRAZIER PARK 9 SW, Ventura, CA05, -119.104, 34.733, 5169, M, 3.14
MONTEREY WFO, Monterey, CA04, -121.855, 36.593, 122, 51.8, 4.96
SKYLINE RIDGE PRESERVE, San Mateo, CA04, -122.185, 37.313, 2270, 45.6, 12.93
FREMONT, Alameda, CA04, -122.016, 37.542, 38, 52.4, 4.60
MAD RIVER 12 SE, Trinity, CA01, -123.374, 40.319, 2763, M, 4.76
NEWHALL 5NW, Los Angeles, CA06, -118.594, 34.393, 1765, 52.6, 6.12
TEHACHAPI 4 SE, Kern, CA05, -118.422, 35.101, 4220, 39.7, 0.41
WRIGHTWOOD, San Bernardino, CA07, -117.639, 34.362, 6000, 33.4, 6.78
REDDING CDF, Shasta, CA02, -122.299, 40.519, 502, M, 9.55
NORTHRIDGE CAL STATE, Los Angeles, CA06, -118.525, 34.245, 904, 55.3, 5.23
OXNARD WFO, Ventura, CA06, -119.137, 34.207, 52, 55.4, 4.63
HANFORD MUNICIPAL AP, Kings, CA05, -119.623, 36.311, 249, 49.6, 1.44
RAMONA AIRPORT, San Diego, CA06, -116.916, 33.038, 1385, 50.0, 4.15
VACAVILLE/NUT TREE AP ASOS, Solano, CA02, -121.959, 38.378, 104, 51.9, 6.85
ALTURAS MUNICIPAL AP, Modoc, CA02, -120.561, 41.484, 4383, 35.1, 0.76
MADERA MUNICIPAL AP, Madera, CA05, -120.111, 36.985, 251, 50.7, 2.51
BAKERSFIELD 5 NW, Kern, CA05, -119.051, 35.419, 470, 51.8, 1.07
FRESNO 5 NE, Fresno, CA05, -119.709, 36.767, 338, 51.7, 2.26
OCEANSIDE MUNICIPAL AP, San Diego, CA06, -117.350, 33.219, 30, 52.4, 2.10
SAN DIEGO SEAWORLD, San Diego, CA06, -117.231, 32.765, 14, 55.6, 3.21
ARCATA EUREKA AP, Humboldt, CA01, -124.105, 40.978, 211, 46.9, 6.78
CHICO ARMY FLYING SCH, Butte, CA02, -121.850, 39.800, 272, 49.5, 8.69
NEWPORT BEACH HARBOR, Orange, CA06, -117.884, 33.603, 10, 56.1, 2.51
REDDING AP, Shasta, CA02, -122.298, 40.515, 501, 47.5, 8.97
AVALON CATALINA AP, Los Angeles, CA06, -118.415, 33.404, 1565, 53.6, 3.63
SANTA MARIA PUBLIC AP, Santa Barbara, CA06, -120.452, 34.894, 243, 51.6, 4.68
MOUNT SHASTA, Siskiyou, CA02, -122.333, 41.333, 3535, 37.2, 9.02
RED BLUFF MUNI AP, Tehama, CA02, -122.255, 40.152, 354, 49.2, 8.03
NEEDLES AIRPORT, San Bernardino, CA07, -114.618, 34.768, 888, 56.6, 0.93
CHINA LAKE NAF, Kern, CA07, -117.693, 35.688, 2230, 46.6, 0.22
SUSANVILLE 2SW, Lassen, CA03, -120.663, 40.417, 4212, 35.8, 0.43
TEJON RANCHO, Kern, CA05, -118.750, 35.023, 1425, 51.4, 0.80
SAN NICOLAS IS, Ventura, CA06, -119.458, 33.240, 568, M, 1.56
BURBANK GLENDALE PASADENA AP, Los Angeles, CA06, -118.365, 34.200, 731, 55.2, 5.54
ALTA SIERRA 2.3 WSW, Nevada, CA02, -121.089, 39.106, 1677, M, 7.83
MORGAN HILL 2.7 S, Santa Clara, CA04, -121.632, 37.092, 338, M, 4.47
ENCINITAS 2.7N, San Diego, CA06, -117.292, 33.076, 188, M, 1.87
MOUNT SHASTA, Siskiyou, CA02, -122.317, 41.322, 3613, 36.7, 10.51
WATSONVILLE MUNICIPAL AIRPORT, Santa Cruz, CA04, -121.790, 36.939, 162, 51.4, 5.23
SANTA ROSA SONOMA CO AP, Sonoma, CA04, -122.811, 38.504, 119, 48.1, 9.03
TWENTYNINE PALMS 12E - WONDER VALLEY, San Bernardino, CA07, -115.850, 34.121, 1376, 52.9, 0.17
BULLION MTN FTHLLS, San Bernardino, CA07, -115.879, 34.201, 1446, 52.6, 0.32
MORONGO VALLEY NORTH, San Bernardino, CA07, -116.562, 34.086, 3145, 48.7, 2.53
AMBOY ROAD EAST, San Bernardino, CA06, -115.804, 34.161, 1272, 50.4, 0.37
HEARST CASTLE, San Luis Obispo, CA04, -121.168, 35.684, 1526, 50.3, 7.82
GETTY CENTER, Los Angeles, CA06, -118.479, 34.087, 1117, 56.4, 4.32
HESPERIA 2E, San Bernardino, CA07, -117.266, 34.421, 3055, 41.1, 0.78
RANCHO BERNARDO, San Diego, CA06, -117.081, 33.022, 690, 55.6, 4.27
PACIFICA 2S, San Mateo, CA04, -122.484, 37.610, 125, 49.1, 7.53
SAN JUAN CANYON, Orange, CA06, -117.552, 33.532, 375, 48.9, 1.01
YOUNTVILLE, Napa, CA01, -122.357, 38.395, 95, 48.7, 11.65
APPLE VALLEY #2, San Bernardino, CA07, -117.279, 34.536, 2780, 47.1, 0.87
OCOTILLO WELLS 2W, San Diego, CA07, -116.169, 33.155, 390, 60.8, 0.00
IRVINE RANCH, Orange, CA06, -117.723, 33.720, 540, 57.1, 3.71
MT. LAGUNA #3, San Diego, CA07, -116.419, 32.867, 5920, 38.6, 3.39
AVALON INLAND, Los Angeles, CA06, -118.330, 33.338, 90, 50.4, 2.88
DESERT CENTER 2 NNE, Riverside, CA07, -115.392, 33.738, 747, 55.5, 0.17
TORRANCE AP, Los Angeles, CA06, -118.342, 33.802, 90, 57.5, 3.14
MERCED 23 WSW, Merced, CA05, -120.882, 37.238, 78, 49.3, 1.97
REDDING 12 WNW, Shasta, CA02, -122.607, 40.651, 1418, 44.3, 18.56
STOVEPIPE WELLS 1 SW, Inyo, CA07, -117.145, 36.602, 84, 56.3, 1.68
LOS ANGELES DOWNTOWN/USC, Los Angeles, CA06, -118.291, 34.024, 179, 58.1, 3.57
FRESNO YOSEMITE INT'L, Fresno, CA05, -119.720, 36.780, 334, 51.5, 2.43
MONTEREY PENINSUL AP, Monterey, CA04, -121.849, 36.590, 160, 53.0, 4.81
PASO ROBLES MUNICIPAL AP, San Luis Obispo, CA04, -120.629, 35.669, 820, 49.5, 2.61
MONTAGUE SISKIYOU AIRPORT, Siskiyou, CA01, -122.468, 41.774, 2645, 38.8, 1.01
SAN JOSE, Santa Clara, CA04, -121.924, 37.359, 49, 52.7, 5.16
PALM SPRINGS ASOS, Riverside, CA07, -116.504, 33.822, 409, 57.9, 1.09
THOUSAND OAKS 1 SW, Ventura, CA06, -118.899, 34.182, 783, 53.7, 2.76
FILLMORE 2 W, Ventura, CA06, -118.945, 34.409, 495, 54.1, 4.55
SAN DIEGO BROWN FIELD, San Diego, CA06, -116.994, 32.576, 521, 54.5, 2.40
Bakersfield Area, -, -, -, -, -, 55.1, 1.71
Bishop Area, -, -, -, -, -, 39.8, 0.53
Los Angeles Downtown Area, -, -, -, -, -, 58.1, 3.57
Eureka Area, -, -, -, -, -, 48.2, 6.20
Fresno Area, -, -, -, -, -, 51.5, 2.43
Los Angeles Airport Area, -, -, -, -, -, 56.2, 3.41
Long Beach Area, -, -, -, -, -, 56.3, 4.04
Redding Area, -, -, -, -, -, 47.5, 8.97
Sacramento Area, -, -, -, -, -, 50.8, 5.07
San Diego Area, -, -, -, -, -, 57.9, 2.63
Stockton Area, -, -, -, -, -, 50.9, 2.68
San Francisco Airport Area, -, -, -, -, -, 52.1, 6.40
Santa Maria Area, -, -, -, -, -, 51.6, 4.68
CAMP PENDLETON MCAS, San Diego, CA06, -117.355, 33.304, 70, 51.9, 1.10
LEMOORE REEVES NAS, Fresno, CA05, -119.950, 36.333, 232, 50.0, 1.02
MOUNTAIN PASS 1SE, San Bernardino, CA07, -115.531, 35.459, 4777, 40.1, 1.79
ARVIN, Kern, CA05, -118.834, 35.211, 450, 52.0, 0.40
FRAZIER PARK, Kern, CA06, -118.965, 34.827, 4972, 37.5, 3.16
CHIRIACO SUMMIT, Riverside, CA07, -115.721, 33.662, 1706, 53.0, 0.74
EDWARDS AFB NORTH AUXILIARY AIRFIELD, Kern, CA07, -117.865, 34.988, 2283, 46.5, 0.00
FALLBROOK 5 NE, San Diego, CA06, -117.190, 33.439, 1140, 55.4, 3.32
SANTA BARBARA 11 W, Santa Barbara, CA06, -119.880, 34.414, 18, 51.8, 4.11
BODEGA 6 WSW, Sonoma, CA01, -123.075, 38.321, 63, 50.4, 6.44
YOSEMITE VILLAGE 12 W, Mariposa, CA05, -119.821, 37.759, 6620, 33.3, 5.17
YUCCA MESA, San Bernardino, CA07, -116.407, 34.218, 3445, 48.6, 0.90
YUCCA VALLEY, San Bernardino, CA07, -116.388, 34.129, 3249, 47.4, 1.24
JOHNSON VALLEY, San Bernardino, CA07, -116.538, 34.359, 3167, 52.6, 0.00
REDONDO BEACH, Los Angeles, CA06, -118.376, 33.834, 142, 56.2, 2.51
BURBANK VALLEY PUMP PLANT, Los Angeles, CA06, -118.348, 34.187, 655, 54.2, 5.64
PIEDMONT 1.0 SE, Alameda, CA04, -122.216, 37.812, 372, M, 9.29
CASTRO VALLEY 0.5 WSW, Alameda, CA04, -122.069, 37.708, 287, M, 6.27
PLEASANTON 1.8 SSE, Alameda, CA04, -121.875, 37.648, 351, M, 5.06
VOLCANO 5.4 NE, Amador, CA05, -120.560, 38.497, 3488, M, 8.24
MARTINEZ 0.8 SSE, Contra Costa, CA04, -122.108, 37.990, 252, M, 7.79
PLEASANT HILL 1.2 ESE, Contra Costa, CA04, -122.054, 37.949, 57, M, 6.04
WALNUT CREEK 1.7 SSE, Contra Costa, CA04, -122.034, 37.878, 243, M, 6.69
LAFAYETTE 0.7 E, Contra Costa, CA04, -122.104, 37.894, 248, M, 9.57
CROCKETT 0.7 WNW, Contra Costa, CA04, -122.233, 38.054, 213, M, 1.72
WALLACE 0.3 NE, Calaveras, CA05, -120.973, 38.197, 298, M, 3.85
MURPHYS 2.8 ENE, Calaveras, CA05, -120.412, 38.165, 3352, M, 6.13
CRESCENT CITY 5.5 NNE, Del Norte, CA01, -124.148, 41.824, 65, M, 12.00
DIAMOND SPRINGS 0.1 W, El Dorado, CA05, -120.824, 38.686, 1778, M, 7.55
PLACERVILLE 2.9 WNW, El Dorado, CA02, -120.840, 38.753, 1800, M, 8.60
PLACERVILLE 3.7 SW, El Dorado, CA02, -120.849, 38.695, 1755, M, 7.33
CAMERON PARK 0.9 SE, El Dorado, CA05, -120.976, 38.672, 1414, M, 6.13
FAIR PLAY 2.8 ESE, El Dorado, CA05, -120.609, 38.592, 3390, M, 7.22
FRESNO 3.4 SSE, Fresno, CA05, -119.811, 36.780, 303, M, 1.90
CLOVIS 2.9 N, Fresno, CA05, -119.693, 36.861, 382, M, 2.56
TOLLHOUSE 2.0 SSE, Fresno, CA05, -119.397, 36.990, 1673, M, 6.09
ARCATA 1.1 NE, Humboldt, CA01, -124.069, 40.881, 420, M, 6.09
BAYSIDE 1.8 SE, Humboldt, CA01, -124.038, 40.825, 77, M, 6.75
ORICK 5.9 SSW, Humboldt, CA01, -124.103, 41.208, 567, M, 8.31
MCKINLEYVILLE 2.7 SE, Humboldt, CA01, -124.084, 40.923, 325, M, 6.43
MCKINLEYVILLE 7.3 ESE, Humboldt, CA01, -123.998, 40.896, 366, M, 6.69
TRINIDAD 1.5 NNW, Humboldt, CA01, -124.152, 41.078, 201, M, 8.08
HONEYDEW 3.1 WNW, Humboldt, CA01, -124.182, 40.252, 316, M, 19.05
MCKINLEYVILLE 2.3 NE, Humboldt, CA01, -124.086, 40.978, 270, M, 7.74
REDWAY 4.3 W, Humboldt, CA01, -123.901, 40.108, 612, M, 14.23
FORTUNA 0.9 SSW, Humboldt, CA01, -124.144, 40.573, 128, M, 1.29
FORTUNA 1.5 NW, Humboldt, CA01, -124.161, 40.600, 98, M, 6.35
REDWAY 4.8 WNW, Humboldt, CA01, -123.906, 40.139, 1820, M, 12.37
MIRANDA 4.1 SW, Humboldt, CA01, -123.894, 40.209, 539, M, 15.15
BAYVIEW 0.8 SE, Humboldt, CA01, -124.166, 40.756, 176, M, 6.93
EUREKA 0.5 SSE, Humboldt, CA01, -124.154, 40.789, 115, M, 6.87
LEMOORE 0.9 ESE, Kings, CA05, -119.772, 36.293, 223, M, 1.34
LEMOORE 4.4 SSE, Kings, CA05, -119.756, 36.240, 213, M, 1.52
LEMOORE 0.3 SW, Kings, CA05, -119.791, 36.295, 223, M, 1.82
INYOKERN 9.4 WSW, Kern, CA07, -117.978, 35.635, 4319, M, 0.87
CALIFORNIA CITY 11.9 WSW, Kern, CA07, -118.016, 35.148, 2435, M, 1.28
GLENDALE 2.4 WSW, Los Angeles, CA06, -118.295, 34.169, 511, M, 4.99
WHITTIER 3.6 ESE, Los Angeles, CA06, -117.984, 33.937, 289, M, 5.84
TORRANCE 2.8 SW, Los Angeles, CA06, -118.337, 33.790, 200, M, 3.09
ALTADENA 0.7 ESE, Los Angeles, CA06, -118.124, 34.187, 1323, M, 2.37
SANTA MONICA 1.9 E, Los Angeles, CA06, -118.460, 34.017, 148, M, 3.57
WOODLAND HILLS 2.6 WNW, Los Angeles, CA06, -118.650, 34.181, 894, M, 5.31
MONTE NIDO 0.2 SSW, Los Angeles, CA06, -118.687, 34.079, 682, M, 7.11
SHERMAN OAKS 1.7 ENE, Los Angeles, CA06, -118.420, 34.154, 638, M, 5.35
WHITTIER 2.9 WNW, Los Angeles, CA06, -118.066, 33.986, 171, M, 0.02
LAKEPORT 2.5 N, Lake, CA02, -122.917, 39.079, 1370, M, 7.84
SUSANVILLE 3.2 SSW, Lassen, CA03, -120.674, 40.368, 4353, M, 3.29
UKIAH 8.4 NW, Mendocino, CA01, -123.331, 39.221, 2492, M, 8.41
BOONVILLE 2.2 WSW, Mendocino, CA01, -123.408, 39.006, 1061, M, 10.69
REDWOOD VALLEY 1.1 NW, Mendocino, CA01, -123.220, 39.275, 771, M, 8.05
ELK 1.8 NNE, Mendocino, CA01, -123.706, 39.105, 147, M, 7.87
POINT ARENA 5.5 ESE, Mendocino, CA01, -123.600, 38.875, 973, M, 12.69
UKIAH 1.2 NW, Mendocino, CA01, -123.225, 39.158, 746, M, 8.27
UKIAH 0.6 ESE, Mendocino, CA01, -123.199, 39.141, 601, M, 8.00
HOPLAND 2.4 WNW, Mendocino, CA01, -123.158, 38.984, 574, M, 0.00
WILLITS 6.0 WSW, Mendocino, CA01, -123.450, 39.370, 1873, M, 2.28
REDWOOD VALLEY 1.3 WNW, Mendocino, CA01, -123.227, 39.272, 810, M, 0.49
LEE VINING 5.9 NW, Mono, CA03, -119.170, 38.034, 7094, M, 1.80
MARIPOSA 3.7 NNW, Mariposa, CA05, -119.988, 37.540, 2942, M, 4.12
NOVATO 1.1 SSW, Marin, CA01, -122.564, 38.077, 296, M, 4.97
WOODACRE 0.6 SW, Marin, CA01, -122.635, 38.005, 439, M, 17.25
SAN ANSELMO 1.2 NNW, Marin, CA01, -122.580, 37.997, 370, M, 14.97
NOVATO 4.8 WNW, Marin, CA01, -122.644, 38.106, 246, M, 11.82
SAN ANSELMO 0.4 NE, Marin, CA01, -122.564, 37.987, 107, M, 14.77
IGNACIO 0.6 SW, Marin, CA01, -122.546, 38.065, 57, M, 12.61
NOVATO 1.4 WNW, Marin, CA01, -122.580, 38.102, 23, M, 11.42
DILLON BEACH 0.3 NNE, Marin, CA01, -122.963, 38.256, 366, M, 1.91
MONTEREY 1.0 W, Monterey, CA04, -121.899, 36.603, 123, M, 5.19
CARMEL VALLEY VILLAGE 0.8 SSW, Monterey, CA04, -121.728, 36.476, 359, M, 5.58
LOCKWOOD 3.6 NW, Monterey, CA04, -121.117, 35.981, 1181, M, 4.53
PACIFIC GROVE 0.7 ESE, Monterey, CA04, -121.913, 36.619, 119, M, 5.33
KING CITY 13.2 S, Monterey, CA04, -121.174, 36.025, 1104, M, 4.61
CASTROVILLE 1.6 ENE, Monterey, CA04, -121.728, 36.776, 18, M, 5.89
MONTEREY 1.5 ESE, Monterey, CA04, -121.856, 36.594, 108, M, 5.03
KING CITY 2.0 SSW, Monterey, CA04, -121.146, 36.187, 371, M, 3.03
PACIFIC GROVE 1.5 SSW, Monterey, CA04, -121.932, 36.602, 280, M, 5.28
BIG SUR 4.0 SE, Monterey, CA04, -121.763, 36.224, 824, M, 8.80
BIG SUR 3.2 SE, Monterey, CA04, -121.769, 36.236, 739, M, 8.51
CALISTOGA 0.4 SSE, Napa, CA01, -122.578, 38.576, 348, M, 10.77
NEVADA CITY 3.4 NNW, Nevada, CA02, -121.040, 39.307, 2390, M, 11.30
KINGVALE 1.3 WSW, Nevada, CA02, -120.452, 39.317, 6035, M, 14.83
GRASS VALLEY 5.5 ESE, Nevada, CA02, -120.963, 39.190, 2763, M, 10.46
GRASS VALLEY 5.0 S, Nevada, CA02, -121.042, 39.149, 2312, M, 11.63
ALTA SIERRA 1.3 S, Nevada, CA02, -121.057, 39.104, 2154, M, 6.47
LAKE OF THE PINES 1.0 WSW, Nevada, CA02, -121.077, 39.032, 1576, M, 7.58
ROUGH AND READY 0.5 NW, Nevada, CA02, -121.143, 39.234, 2010, M, 7.41
ALTA SIERRA 0.4 WSW, Nevada, CA02, -121.060, 39.120, 2303, M, 8.51
LAKE OF THE PINES 1.3 NNW, Nevada, CA02, -121.070, 39.056, 1528, M, 7.72
GRASS VALLEY 5.7 S, Nevada, CA02, -121.055, 39.139, 2169, M, 6.70
NEVADA CITY 5.4 W, Nevada, CA02, -121.121, 39.268, 1982, M, 8.22
GRASS VALLEY 0.6 NNW, Nevada, CA02, -121.062, 39.229, 2661, M, 11.21
GRASS VALLEY 2.4 S, Nevada, CA02, -121.057, 39.187, 2331, M, 9.51
LAKE OF THE PINES 4.7 WNW, Nevada, CA02, -121.146, 39.054, 1480, M, 6.82
ORANGE 3.5 ENE, Orange, CA06, -117.770, 33.829, 811, M, 2.39
YORBA LINDA 1.9 SSW, Orange, CA06, -117.781, 33.865, 361, M, 2.26
LAGUNA NIGUEL 0.9 W, Orange, CA06, -117.720, 33.528, 477, M, 3.52
SILVERADO 1.0 ESE, Orange, CA06, -117.620, 33.746, 1394, M, 6.54
LAGUNA BEACH 3.2 SSE, Orange, CA06, -117.739, 33.498, 194, M, 2.20
LAGUNA NIGUEL 1.8 SW, Orange, CA06, -117.728, 33.509, 856, M, 1.88
SANTA ANA 0.7 ESE, Orange, CA06, -117.871, 33.731, 81, M, 1.16
PLACENTIA 2.1 ESE, Orange, CA06, -117.822, 33.868, 256, M, 1.60
SODA SPRINGS 1.5 SSW, Placer, CA02, -120.384, 39.302, 6887, M, 16.22
ROSEVILLE 4.7 WNW, Placer, CA02, -121.377, 38.780, 96, M, 4.72
ROSEVILLE 0.8 ENE, Placer, CA02, -121.279, 38.763, 170, M, 5.73
COLFAX 1.0 WNW, Placer, CA02, -120.970, 39.101, 2260, M, 10.53
PENRYN 0.4 SE, Placer, CA02, -121.158, 38.847, 610, M, 5.60
COLFAX 3.1 SW, Placer, CA02, -120.991, 39.061, 2077, M, 10.82
AUBURN 3.1 N, Placer, CA02, -121.068, 38.936, 1528, M, 8.74
NEWCASTLE 1.6 SSE, Placer, CA02, -121.123, 38.851, 800, M, 6.08
IDYLLWILD 1.8 NW, Riverside, CA06, -116.735, 33.763, 6325, M, 9.26
DESERT HOT SPRINGS 3.0 NW, Riverside, CA07, -116.541, 33.985, 1339, M, 1.39
HEMET 4.1 ENE, Riverside, CA06, -116.920, 33.753, 1698, M, 3.14
CORONA 12.8 SE, Riverside, CA06, -117.428, 33.731, 1404, M, 5.02
HOMELAND 1.7 NNE, Riverside, CA06, -117.092, 33.769, 2248, M, 4.83
LAKE ELSINORE 3.5 WSW, Riverside, CA06, -117.381, 33.657, 1356, M, 5.51
NORCO 1.2 S, Riverside, CA06, -117.548, 33.908, 661, M, 2.71
PERRIS 8.5 WNW, Riverside, CA06, -117.365, 33.826, 1639, M, 2.75
BEAUMONT 2.5 NW, Riverside, CA06, -117.012, 33.954, 2532, M, 1.42
CARMICHAEL 1.6 SW, Sacramento, CA02, -121.340, 38.617, 102, M, 4.93
SACRAMENTO 8.0 NE, Sacramento, CA02, -121.361, 38.635, 95, M, 5.82
FOLSOM 3.4 ESE, Sacramento, CA05, -121.091, 38.655, 594, M, 6.63
CARMICHAEL 0.9 NE, Sacramento, CA02, -121.306, 38.643, 130, M, 5.43
CARMICHAEL 1.4 W, Sacramento, CA02, -121.345, 38.638, 109, M, 5.55
FOLSOM 1.2 SSE, Sacramento, CA02, -121.140, 38.660, 362, M, 5.66
CARMICHAEL 0.9 S, Sacramento, CA02, -121.319, 38.621, 108, M, 1.78
FOLSOM 2.4 SW, Sacramento, CA02, -121.176, 38.651, 194, M, 4.40
SACRAMENTO 13.7 SE, Sacramento, CA05, -121.283, 38.456, 97, M, 2.96
SACRAMENTO 1.4 S, Sacramento, CA02, -121.471, 38.547, 24, M, 5.91
SACRAMENTO 2.0 SE, Sacramento, CA02, -121.437, 38.550, 34, M, 6.12
ANTELOPE 3.5 W, Sacramento, CA02, -121.392, 38.707, 79, M, 5.28
SACRAMENTO 4.1 NE, Sacramento, CA02, -121.412, 38.609, 46, M, 5.33
SACRAMENTO 0.6 ENE, Sacramento, CA02, -121.458, 38.572, 26, M, 6.12
MOUNTAIN VIEW 1.2 S, Santa Clara, CA04, -122.075, 37.385, 109, M, 5.62
SAN JOSE 4.6 S, Santa Clara, CA04, -121.836, 37.238, 158, M, 5.76
SUNNYVALE 1.9 SE, Santa Clara, CA04, -122.004, 37.365, 85, M, 5.45
